V0	Ø	Time	R
97.67	64.6	10.99	182.54
84.69	60.8	9.92	182.08
96.60	43.7	8.68	253.73
92.14	45.4	8.70	242.02
78.92	57.3	9.24	185.27
80.32	53.2	8.94	200.38
74.73	56.1	8.86	180.68
71.28	54.7	8.49	177.50
96.98	38.1	7.94	260.43
84.40	45.0	8.26	226.68
80.68	41.9	7.67	222.16
67.46	55.7	8.31	166.44
60.39	69.3	8.70	105.78
66.19	46.5	7.32	181.47
64.58	56.8	8.19	156.90
61.33	53.9	7.68	156.39
69.67	45.9	7.50	191.06
90.93	40.9	8.05	245.80
90.20	53.2	9.51	218.98
62.99	61.6	8.43	139.41
90.94	32.2	6.81	246.69
77.19	66.7	9.89	143.92
81.12	49.7	8.62	210.79
98.94	54.9	10.14	228.02
68.33	42.4	7.02	191.07
75.67	52.6	8.58	192.46
82.60	64.8	10.11	161.22
60.62	33.4	5.45	168.18
93.88	30.5	6.66	251.61
61.41	68.7	8.76	110.03
80.13	68.0	10.17	142.12
63.68	52.9	7.78	164.15
74.78	46.0	7.82	203.47
78.69	53.0	8.82	197.63
90.98	32.1	6.80	246.70
86.85	44.3	8.29	233.03
64.70	68.9	9.06	114.62
60.03	68.7	8.63	107.89
64.25	63.4	8.67	135.58
77.81	55.7	9.03	188.02
62.85	32.0	5.40	173.43
76.45	62.6	9.53	161.01
93.22	53.3	9.68	223.98
97.43	54.4	10.01	227.43
60.87	68.7	8.71	109.36
69.95	30.1	5.53	191.42
98.29	44.8	8.91	254.89
60.71	45.3	6.81	167.95
98.07	56.8	10.30	219.18
70.66	31.2	5.72	194.87
73.49	47.8	7.94	197.66
87.02	49.8	8.96	222.57
65.60	54.5	8.07	165.11
75.29	69.4	9.92	128.37
88.65	60.1	10.09	191.29
76.64	68.3	9.95	135.66
70.13	66.0	9.31	136.29
74.13	33.8	6.26	206.72
78.93	53.5	8.88	196.89
88.50	35.6	7.20	242.68
90.39	34.2	7.09	246.62
67.08	35.4	6.09	188.42
72.23	30.4	5.69	198.17
70.28	42.7	7.17	195.94
96.95	53.3	9.87	230.41
87.89	58.5	9.90	196.69
71.58	33.4	6.08	199.63
81.51	66.3	10.15	152.22
70.44	32.5	5.89	195.65
88.57	34.9	7.11	242.72
80.89	34.4	6.68	224.31
95.69	40.7	8.24	255.82
71.58	34.5	6.23	200.38
99.66	39.3	8.22	265.00
78.90	59.3	9.42	177.96
63.02	31.4	5.33	173.22
74.71	57.8	9.01	175.48
67.85	35.2	6.11	190.49
93.51	55.4	9.91	217.37
77.22	31.2	6.05	212.46
92.90	60.1	10.34	197.83
88.32	57.1	9.80	202.44
88.07	66.2	10.56	161.84
